,Step,Execution_time
0,1,121.05577612100024
1,2,21.928123928002606
2,3,23.209497285999532
3,4,22.82470471400302
4,5,21.569811613997445
5,6,21.66159411999979
6,7,23.918931059000897
7,8,25.688463608996244
8,9,28.142770913000277
9,10,24.835989254002925
10,11,21.382322440003918
11,12,21.122699917999853
12,13,20.89972904699971
13,14,19.42905564600369
14,15,20.123514762999548
15,16,20.335723148004035
16,17,20.13313898100023
17,18,19.916761665001104
18,19,20.974623825997696
19,20,20.904731477996393
20,21,17.749338581998018
21,22,19.559136272000615
22,23,22.694089099997655
23,24,25.067953221994685
24,25,20.093877143997815
25,26,21.42224824999721
26,27,19.423974805999023
27,28,19.99458866200439
28,29,20.295442643997376
29,30,20.17393802400329
30,31,23.53284919699945
31,32,28.11976823399891
32,33,35.71114819599461
33,34,30.061984186999325
34,35,28.7116754460003
35,36,28.33405669599597
36,37,28.967746335998527
37,38,28.929585673002293
38,39,28.610265415001777
39,40,28.746532326993474
40,41,28.438879420995363
41,42,28.99752780899871
42,43,28.60086636699998
43,44,30.459975751000457
44,45,26.722524662996875
45,46,26.886257368998486
46,47,27.206102215997817
47,48,25.373942143000022
48,49,22.825234691001242
49,50,23.113638597998943
50,51,22.85273909800162
51,52,23.74636112099688
52,53,23.393757568999717
53,54,24.05203731400252
54,55,23.358164065000892
55,56,24.122130821997416
56,57,24.540521111004637
57,58,23.565326748997904
58,59,24.544215259003977
59,60,24.711811362001754
60,61,24.242354538000654
61,62,24.15045681099582
62,63,24.079450678000285
63,64,24.140924658997392
64,65,23.078401135004242
65,66,23.78335733399581
66,67,24.35658866700396
67,68,24.476187590000336
68,69,22.8216353339958
69,70,23.304921007998928
70,71,23.125697301999026
71,72,22.98225358899799
72,73,22.958168507000664
73,74,23.005065931996796
74,75,23.226092573997448
75,76,22.754027054994367
76,77,22.877389205001236
77,78,23.02345629699994
78,79,23.198183633001463
79,80,24.319686160000856
80,81,24.861716291001358
81,82,24.481064261999563
82,83,24.28393562400015
83,84,24.141554702997382
84,85,23.792172522000328
85,86,23.601979200000642
86,87,24.388868665999325
87,88,24.358557956998993
88,89,23.443352782000147
89,90,23.641955737999524
90,91,24.28982664400246
91,92,24.820045301006758
92,93,22.674183979004738
93,94,22.693104692996712
94,95,23.02174790600111
95,96,22.623598983998818
96,97,22.47761825100315
97,98,23.22577289000037
98,99,23.338502546997915
99,100,22.894933241994295
100,101,23.079408467994654
101,102,23.072629718000826
102,103,23.29475247600203
103,104,23.914118622000387
104,105,24.802730605995748
105,106,24.34994178100169
106,107,23.833542871005193
107,108,23.947442620999936
108,109,24.230128051000065
109,110,24.011131455001305
110,111,23.955032415004098
111,112,24.125032641997677
112,113,23.273760021998896
113,114,23.658375024002453
114,115,23.89356331399904
115,116,24.481969674001448
116,117,22.667854933002673
117,118,22.39067035899643
118,119,23.115619649004657
119,120,22.898369390997686
120,121,22.55640641600621
121,122,23.195134251996933
122,123,23.09451880200504
123,124,22.68094235400349
124,125,22.807312182994792
125,126,23.11432191300264
126,127,23.216958942997735
127,128,24.157880866005144
128,129,24.390014354001323
129,130,24.108150476997253
130,131,23.78754730100627
131,132,24.198873815999832
132,133,24.18103098100255
133,134,23.732414533005795
134,135,23.731080114004726
135,136,24.097255582993967
136,137,23.582278624999162
137,138,23.54975181800546
138,139,23.838878283000668
139,140,24.678648870998586
140,141,23.018685130999074
141,142,22.87119235099817
142,143,23.063381317006133
143,144,23.215439493993472
144,145,22.643454305005434
145,146,22.816230332995474
146,147,23.1226553910019
147,148,23.369649027001287
148,149,22.66202987900033
149,150,22.349537324000266
150,151,23.394018965002033
151,152,24.40204665800411
152,153,24.658133625001938
153,154,24.438520559997414
154,155,24.247406017006142
155,156,24.068822655004624
156,157,24.200971553000272
157,158,24.750231428995903
158,159,24.436974859003385
159,160,24.36782523200236
160,161,23.680032764001226
161,162,24.07745889099897
162,163,24.02395623800112
163,164,24.438665085996035
164,165,22.401525107001362
165,166,22.771829971999978
166,167,22.490268510999158
167,168,22.839943888000562
168,169,22.808009038002638
169,170,22.69451156500145
170,171,23.194118659004744
171,172,22.951718748998246
172,173,22.845682612001838
173,174,22.48525931500626
174,175,23.13842325000587
175,176,24.157813883000927
176,177,24.41171497499454
177,178,23.87755678800022
178,179,24.77992002400424
179,180,24.16945961100282
180,181,23.67181374700158
181,182,24.126948236000317
182,183,24.116752032001386
183,184,24.282615784999507
184,185,23.69370017899928
185,186,24.17794826899626
186,187,23.177987048999057
187,188,22.070650827001373
188,189,20.201096258002508
189,190,19.81896367399895
190,191,19.754726854000182
191,192,19.842305363003106
192,193,19.679291297004966
193,194,19.80902746799984
194,195,19.757148439995944
195,196,19.90530478200526
196,197,19.801481716000126
197,198,21.000088344000687
198,199,21.556194841999968
199,200,22.165078175006784
200,201,22.03067598299822
201,202,20.181252062997373
202,203,18.43609869100328
203,204,18.34704565499851
204,205,17.983100011006172
205,206,21.85111116799817
206,207,23.586064450995764
207,208,23.707205829996383
208,209,22.906410192001204
209,210,23.207906900002854
210,211,23.5582902150054
211,212,24.120912605998456
212,213,22.05102401500335
213,214,22.281449263005925
214,215,22.24232218999532
215,216,22.36217865299841
216,217,22.07549765099975
217,218,22.3523576019943
218,219,22.331808825001644
219,220,22.4832031229962
220,221,22.419771482003853
221,222,22.033664431000943
222,223,22.4716785779965
223,224,23.46437322499696
224,225,24.011362982993887
225,226,23.483838496998942
226,227,23.427984314999776
227,228,23.29549646799569
228,229,23.39826704799634
229,230,23.71098974299821
230,231,23.464463101998263
231,232,23.553122554003494
232,233,22.94622308999533
233,234,23.030789705000643
234,235,23.719583065001643
235,236,23.882371456005785
236,237,22.157417096001154
237,238,22.08235717000207
238,239,21.82069583900011
239,240,22.38243465299456
240,241,22.32319532999827
241,242,22.214583362001576
242,243,22.142060901998775
243,244,22.54474651599594
244,245,22.258469143002003
245,246,22.265598707999743
246,247,22.577169502998004
247,248,20.779124710999895
248,249,19.39067478600191
249,250,18.338514246999694
250,251,18.32281756500015
251,252,18.23799406499893
252,253,18.083216724000522
253,254,18.14238982000097
254,255,18.067463948005752
255,256,18.004881130000285
256,257,17.64505459999782
257,258,17.92570009300107
258,259,18.384563143998093
259,260,18.497630698002467
260,261,17.055897091006045
261,262,17.180459472998336
262,263,17.134648677005316
263,264,17.31614189100219
264,265,17.212466245997348
265,266,17.312045710001257
266,267,17.10710385999846
267,268,17.44010661899665
268,269,17.546193647998734
269,270,17.365266449000046
270,271,17.53196159700019
271,272,18.34042126100394
272,273,18.432727737003006
273,274,18.095973841998784
274,275,18.055750684994564
275,276,18.217201682004088
276,277,18.03222967399779
277,278,18.25325293300557
278,279,18.458972694003023
279,280,18.300694668003416
280,281,17.807578669002396
281,282,17.80862188500032
282,283,18.17884340100136
283,284,18.40957543299737
284,285,17.11815751100221
285,286,17.025885919996654
286,287,17.17955007799901
287,288,17.173075705002702
288,289,17.32321098900138
289,290,17.449221759001375
290,291,17.367718986999535
291,292,17.53109633400163
292,293,17.567408949995297
293,294,17.247993429999042
294,295,17.405532984994352
295,296,18.211926547002804
296,297,18.281609581004886
297,298,18.199458670998865
298,299,17.949983379003243
299,300,18.07610664999811
300,301,17.800684417998127
301,302,17.793625714999507
302,303,18.037503817999095
303,304,18.09700457299914
304,305,17.617917880001187
305,306,18.099152048001997
306,307,18.125896467005077
307,308,18.42138583600172
308,309,17.079591811001592
309,310,17.130041005002568
310,311,16.961630967001838
311,312,17.214019605999056
312,313,17.12050355500105
313,314,17.353397485007008
314,315,17.111382120994676
315,316,17.128690026002005
316,317,17.198417229999905
317,318,17.04987092000374
318,319,17.485086692999175
319,320,18.0525607449963
320,321,18.359053385000152
321,322,18.101544533994456
322,323,17.88767712900153
323,324,17.91844454099919
324,325,17.74533329300175
325,326,17.96613811000134
326,327,17.865139964000264
327,328,17.87690216000192
328,329,17.635159272002056
329,330,17.816361555000185
330,331,17.84845301200403
331,332,18.16359857500356
332,333,17.146046337998996
333,334,17.01187939599913
334,335,17.12188785699982
335,336,17.07046719200298
336,337,17.137320068999543
337,338,17.071329426995362
338,339,17.11470740900404
339,340,17.068554329998733
340,341,17.275085980996664
341,342,16.98844808400463
342,343,17.33428004500456
343,344,17.970455370996206
344,345,18.313746273997822
345,346,18.454809850001766
346,347,18.050757037999574
347,348,18.03080327600037
348,349,18.009465565999562
349,350,17.997811193003145
350,351,18.13680566199764
351,352,18.008378104997973
352,353,17.393265450999024
353,354,17.653666001999227
354,355,17.927001853000547
355,356,18.313106679997873
356,357,17.347191520995693
357,358,17.056544740997197
358,359,17.212120117001177
359,360,17.008065504000115
