,Clock,Susceptible,Incubated,Infectious-Asymptomatic,Infectious-MildModerateSymptoms,Infectious-SevereSymptoms,Infectious-CriticalSymptoms,Recovered-TemporaryImmunity,Deceased,HealthCareUnit-OccupiedBeds
0,2000-01-01T00:00,1000,0,0,0,0,0,0,0,0
1,2000-01-01T01:00,990,10,0,0,0,0,0,0,0
2,2000-01-01T02:00,990,10,0,0,0,0,0,0,0
3,2000-01-01T03:00,990,10,0,0,0,0,0,0,0
4,2000-01-01T04:00,990,10,0,0,0,0,0,0,0
5,2000-01-01T05:00,990,10,0,0,0,0,0,0,0
6,2000-01-01T06:00,990,10,0,0,0,0,0,0,0
7,2000-01-01T07:00,990,10,0,0,0,0,0,0,0
8,2000-01-01T08:00,990,10,0,0,0,0,0,0,0
9,2000-01-01T09:00,990,10,0,0,0,0,0,0,0
10,2000-01-01T10:00,990,10,0,0,0,0,0,0,0
11,2000-01-01T11:00,990,10,0,0,0,0,0,0,0
12,2000-01-01T12:00,990,10,0,0,0,0,0,0,0
13,2000-01-01T13:00,990,10,0,0,0,0,0,0,0
14,2000-01-01T14:00,990,10,0,0,0,0,0,0,0
15,2000-01-01T15:00,990,10,0,0,0,0,0,0,0
16,2000-01-01T16:00,990,10,0,0,0,0,0,0,0
17,2000-01-01T17:00,990,10,0,0,0,0,0,0,0
18,2000-01-01T18:00,990,10,0,0,0,0,0,0,0
19,2000-01-01T19:00,990,10,0,0,0,0,0,0,0
20,2000-01-01T20:00,990,10,0,0,0,0,0,0,0
21,2000-01-01T21:00,990,10,0,0,0,0,0,0,0
22,2000-01-01T22:00,990,10,0,0,0,0,0,0,0
23,2000-01-01T23:00,990,10,0,0,0,0,0,0,0
24,2000-01-02T00:00,990,10,0,0,0,0,0,0,0
25,2000-01-02T01:00,990,10,0,0,0,0,0,0,0
26,2000-01-02T02:00,990,10,0,0,0,0,0,0,0
27,2000-01-02T03:00,990,10,0,0,0,0,0,0,0
28,2000-01-02T04:00,990,10,0,0,0,0,0,0,0
29,2000-01-02T05:00,990,10,0,0,0,0,0,0,0
30,2000-01-02T06:00,990,10,0,0,0,0,0,0,0
31,2000-01-02T07:00,990,10,0,0,0,0,0,0,0
32,2000-01-02T08:00,990,10,0,0,0,0,0,0,0
33,2000-01-02T09:00,990,10,0,0,0,0,0,0,0
